"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010EA","B25101_010M","B25101_010MA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","74264435","230440","null","null","49325615","153067","null","null","3027708","28195","null","null","7794","null","1622","null","45221","3238","null","null","2974693","null","28132","null","4884255","36646","null","null","152924","null","6879","null","626375","null","12377","null","4104956","null","31141","null","5968900","43346","null","null","596144","12387","null","null","1703169","22907","null","null","3669587","null","32046","null","10253967","null","62114","null","2523054","null","29439","null","3871318","34939","null","null","3859595","36571","null","null","24914890","null","89709","null","13829668","null","68178","null","7618208","null","47689","null","3467014","29931","null","null","275895","8817","null","null","24938820","111029","null","null","4914245","null","37330","null","965857","null","15083","null","1097373","null","16242","null","2851015","null","25380","null","5085739","36290","null","null","2954061","null","27490","null","1317824","null","15644","null","813854","null","13188","null","3848233","33595","null","null","3173033","29630","null","null","506507","8973","null","null","168693","null","6438","null","4341233","null","35447","null","4048086","34967","null","null","231385","5947","null","null","61762","3963","null","null","6433104","null","43573","null","6322963","null","43158","null","88284","3846","null","null","21857","2086","null","null","316266","9466","null","null",
"0400000US01","Alabama","1289217","12212","null","null","769984","10852","null","null","69448","4535","null","null","35","null","35","null","804","316","null","null","68609","null","4530","null","98733","6174","null","null","3828","null","845","null","18400","null","2351","null","76505","null","4780","null","108210","5727","null","null","16420","1831","null","null","42638","3847","null","null","49152","null","3641","null","167223","null","5374","null","65605","null","4080","null","71433","4466","null","null","30185","2715","null","null","323282","null","8277","null","237282","null","7855","null","68107","null","4171","null","17893","2358","null","null","3088","922","null","null","519233","10290","null","null","134371","null","5643","null","33809","null","2645","null","31637","null","2502","null","68925","null","4228","null","115723","4814","null","null","84447","null","4061","null","23725","null","2377","null","7551","null","1295","null","82429","3935","null","null","77638","4030","null","null","4215","929","null","null","576","null","386","null","83211","null","4874","null","82122","4973","null","null","989","536","null","null","100","119","null","null","95336","null","4400","null","95155","null","4402","null","181","229","null","null","0","190","null","null","8163","1270","null","null",
"0400000US02","Alaska","162312","3867","null","null","105715","4095","null","null","2899","774","null","null","0","null","149","null","37","49","null","null","2862","null","783","null","4791","836","null","null","227","null","106","null","210","null","167","null","4354","null","839","null","9105","1696","null","null","486","259","null","null","1686","527","null","null","6933","null","1518","null","18937","null","1966","null","1762","null","489","null","6471","1020","null","null","10704","1790","null","null","69933","null","4034","null","37604","null","2933","null","23345","null","2044","null","8984","1598","null","null","50","70","null","null","56597","2674","null","null","8108","null","1092","null","1563","null","577","null","976","null","348","null","5569","null","1002","null","9088","1366","null","null","5107","null","1056","null","2546","null","683","null","1435","null","438","null","6524","1058","null","null","5154","916","null","null","1249","471","null","null","121","null","131","null","12843","null","1746","null","12143","1690","null","null","579","340","null","null","121","149","null","null","19904","null","1645","null","19904","null","1645","null","0","149","null","null","0","149","null","null","130","93","null","null",
"0400000US04","Arizona","1501528","15067","null","null","1032658","16346","null","null","84144","6313","null","null","62","null","85","null","1231","662","null","null","82851","null","6246","null","122389","7537","null","null","2630","null","761","null","11605","null","1910","null","108154","null","7221","null","146274","7811","null","null","11497","1619","null","null","41631","3882","null","null","93146","null","6031","null","218277","null","8794","null","50225","null","4195","null","96420","6613","null","null","71632","5265","null","null","452859","null","11944","null","271633","null","9369","null","135734","null","6801","null","45492","4614","null","null","8715","1977","null","null","468870","10367","null","null","96085","null","5202","null","24524","null","2396","null","22666","null","2318","null","48895","null","4063","null","106363","5420","null","null","74006","null","4511","null","22172","null","2701","null","10185","null","1631","null","75727","5081","null","null","69020","4785","null","null","5687","1641","null","null","1020","null","630","null","78270","null","4983","null","76672","4984","null","null","1296","742","null","null","302","230","null","null","102325","null","5308","null","101726","null","5341","null","321","199","null","null","278","360","null","null","10100","1925","null","null",
"0400000US05","Arkansas","750984","9249","null","null","441581","7763","null","null","41584","3261","null","null","0","null","192","null","1277","541","null","null","40307","null","3175","null","59015","3922","null","null","3094","null","754","null","15914","null","1442","null","40007","null","3325","null","71069","3902","null","null","16398","1833","null","null","31113","2903","null","null","23558","null","2169","null","99791","null","4578","null","50947","null","3583","null","35755","3166","null","null","13089","1652","null","null","166712","null","5125","null","134633","null","5199","null","27575","null","2820","null","4504","953","null","null","3410","994","null","null","309403","7087","null","null","79175","null","4092","null","26894","null","2466","null","20075","null","2021","null","32206","null","2450","null","68805","3266","null","null","56109","null","2838","null","10266","null","1336","null","2430","null","734","null","50236","2677","null","null","47637","2633","null","null","2204","593","null","null","395","null","357","null","51681","null","3228","null","50971","3111","null","null","504","353","null","null","206","205","null","null","55110","null","3589","null","55110","null","3589","null","0","192","null","null","0","192","null","null","4396","1003","null","null",
"0400000US06","California","6843369","25886","null","null","5102167","26938","null","null","260299","8180","null","null","646","null","362","null","2332","545","null","null","257321","null","8146","null","394640","11114","null","null","6469","null","1269","null","19966","null","2249","null","368205","null","10478","null","501220","11461","null","null","21792","2308","null","null","62817","4181","null","null","416611","null","10411","null","882455","null","16726","null","83200","null","4891","null","217237","8026","null","null","582018","13373","null","null","3026181","null","25607","null","1094618","null","15602","null","1073413","null","17330","null","858150","15841","null","null","37372","3249","null","null","1741202","18648","null","null","303173","null","7558","null","62693","null","4104","null","58162","null","3526","null","182318","null","5050","null","323661","8344","null","null","181715","null","5656","null","78859","null","4535","null","63087","null","3714","null","250945","6829","null","null","198813","6424","null","null","38699","2362","null","null","13433","null","1928","null","293483","null","6988","null","269703","6733","null","null","19685","1940","null","null","4095","956","null","null","545887","null","13451","null","538156","null","13348","null","6580","1181","null","null","1151","486","null","null","24053","2516","null","null",
"0400000US08","Colorado","1271804","10881","null","null","954994","11508","null","null","49998","3759","null","null","109","null","115","null","414","266","null","null","49475","null","3771","null","79939","4189","null","null","2100","null","610","null","5870","null","1147","null","71969","null","4136","null","110997","5921","null","null","6460","1123","null","null","25634","2477","null","null","78903","null","5594","null","195061","null","7511","null","35746","null","3448","null","78635","4320","null","null","80680","4414","null","null","512909","null","10337","null","299562","null","7933","null","162690","null","6734","null","50657","4643","null","null","6090","1467","null","null","316810","6526","null","null","55897","null","2955","null","9271","null","1299","null","13947","null","1701","null","32679","null","2199","null","60695","3123","null","null","39235","null","2806","null","15747","null","1781","null","5713","null","1117","null","47068","2975","null","null","42125","2820","null","null","3759","893","null","null","1184","null","579","null","57774","null","3676","null","56458","3597","null","null","943","400","null","null","373","465","null","null","92394","null","4185","null","91916","null","4200","null","432","402","null","null","46","75","null","null","2982","941","null","null",
"0400000US09","Connecticut","911059","6941","null","null","644372","7533","null","null","23785","2445","null","null","229","null","369","null","0","198","null","null","23556","null","2355","null","37908","2893","null","null","125","null","99","null","970","null","478","null","36813","null","2766","null","54243","3282","null","null","1329","497","null","null","5723","1213","null","null","47191","null","2914","null","107518","null","4626","null","8613","null","1385","null","28678","2441","null","null","70227","4042","null","null","418062","null","7298","null","184088","null","5568","null","151519","null","5251","null","82455","4240","null","null","2856","863","null","null","266687","5457","null","null","33876","null","2345","null","869","null","355","null","1637","null","493","null","31370","null","2321","null","44187","3078","null","null","3649","null","801","null","13601","null","1407","null","26937","null","2441","null","35784","2692","null","null","13530","1757","null","null","15096","1448","null","null","7158","null","1153","null","45338","null","2506","null","34037","2184","null","null","8985","1175","null","null","2316","697","null","null","105087","null","4620","null","100412","null","4382","null","3651","797","null","null","1024","631","null","null","2415","809","null","null",
"0400000US10","Delaware","238560","4816","null","null","166538","4740","null","null","8372","1315","null","null","0","null","192","null","122","176","null","null","8250","null","1323","null","13749","1666","null","null","502","null","360","null","990","null","445","null","12257","null","1581","null","19225","1690","null","null","1296","470","null","null","4011","925","null","null","13918","null","1619","null","33528","null","2813","null","5947","null","1169","null","13255","2347","null","null","14326","1509","null","null","90884","null","3823","null","51818","null","3304","null","30033","null","2762","null","9033","1504","null","null","780","423","null","null","72022","3318","null","null","11790","null","1446","null","2986","null","985","null","1830","null","556","null","6974","null","1129","null","12783","1433","null","null","7695","null","1176","null","3051","null","631","null","2037","null","646","null","11422","1287","null","null","9798","1230","null","null","1419","496","null","null","205","null","175","null","13909","null","1593","null","13633","1578","null","null","276","197","null","null","0","192","null","null","21813","null","1992","null","21295","null","1910","null","518","545","null","null","0","192","null","null","305","195","null","null",
"0400000US11","District of Columbia","110625","3425","null","null","87297","3574","null","null","3692","769","null","null","0","null","200","null","47","57","null","null","3645","null","764","null","4734","1137","null","null","75","null","88","null","120","null","114","null","4539","null","1137","null","6306","1319","null","null","155","146","null","null","604","337","null","null","5547","null","1161","null","12535","null","1622","null","1697","null","545","null","3190","774","null","null","7648","1326","null","null","59667","null","2929","null","30446","null","2335","null","19585","null","1889","null","9636","1442","null","null","363","262","null","null","23328","1822","null","null","2768","null","642","null","194","null","140","null","648","null","252","null","1926","null","556","null","2918","701","null","null","1583","null","497","null","620","null","272","null","715","null","407","null","2681","629","null","null","2116","548","null","null","422","263","null","null","143","null","143","null","3326","null","777","null","3064","753","null","null","239","234","null","null","23","37","null","null","11390","null","1283","null","11105","null","1251","null","212","179","null","null","73","119","null","null","245","172","null","null",
"0400000US12","Florida","4741169","31771","null","null","2975808","26290","null","null","271985","9605","null","null","300","null","277","null","2554","891","null","null","269131","null","9382","null","402287","10069","null","null","8738","null","2108","null","38909","null","2854","null","354640","null","9780","null","416903","11933","null","null","31992","3114","null","null","98751","6632","null","null","286160","null","10467","null","630774","null","16327","null","119730","null","5863","null","238158","10664","null","null","272886","9906","null","null","1224948","null","19465","null","645787","null","14979","null","395890","null","11242","null","183271","7782","null","null","28911","3719","null","null","1765361","19804","null","null","382496","null","11715","null","70393","null","4545","null","77979","null","5174","null","234124","null","7835","null","379146","10989","null","null","201937","null","8797","null","108613","null","5717","null","68596","null","4752","null","282097","8123","null","null","227463","7554","null","null","41668","3164","null","null","12966","null","2103","null","295525","null","9916","null","274537","9463","null","null","14465","2140","null","null","6523","1483","null","null","393970","null","9001","null","382527","null","8996","null","8562","1500","null","null","2881","907","null","null","32127","3167","null","null",
"0400000US13","Georgia","2256703","18001","null","null","1565587","17156","null","null","122633","6580","null","null","562","null","340","null","1482","777","null","null","120589","null","6522","null","177698","6862","null","null","3588","null","1123","null","20032","null","2358","null","154078","null","6782","null","201523","8984","null","null","15224","2308","null","null","61788","5078","null","null","124511","null","7348","null","336624","null","10375","null","86006","null","4673","null","141942","7137","null","null","108676","5937","null","null","712475","null","12381","null","444743","null","10728","null","204395","null","8302","null","63337","4840","null","null","14634","3028","null","null","691116","12765","null","null","156041","null","6968","null","31658","null","2766","null","41847","null","3075","null","82536","null","5261","null","139634","5562","null","null","91326","null","4782","null","34134","null","3154","null","14174","null","2038","null","108819","4861","null","null","95222","4649","null","null","11956","2422","null","null","1641","null","623","null","120868","null","5669","null","118178","5614","null","null","2371","676","null","null","319","286","null","null","152787","null","6234","null","151720","null","6206","null","1067","505","null","null","0","225","null","null","12967","2024","null","null",
"0400000US15","Hawaii","254700","5244","null","null","172002","5256","null","null","5980","1220","null","null","94","null","163","null","53","91","null","null","5833","null","1203","null","10253","1492","null","null","23","null","30","null","767","null","466","null","9463","null","1443","null","16666","2015","null","null","684","320","null","null","2666","771","null","null","13316","null","1784","null","32668","null","3078","null","2504","null","746","null","6135","1403","null","null","24029","2691","null","null","105879","null","4484","null","36582","null","2519","null","37536","null","2969","null","31761","2867","null","null","556","295","null","null","82698","3364","null","null","9902","null","1193","null","1525","null","475","null","1692","null","433","null","6685","null","975","null","12701","1325","null","null","6993","null","1002","null","3748","null","897","null","1960","null","578","null","11950","1657","null","null","9743","1441","null","null","1533","550","null","null","674","null","331","null","15216","null","1753","null","14262","1722","null","null","735","309","null","null","219","174","null","null","31742","null","2594","null","31550","null","2600","null","151","147","null","null","41","54","null","null","1187","580","null","null",
