"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022EA","B25101_022M","B25101_022MA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Annotation of Margin of Error!!Total:!!With a mortgage:","Annotation of Estimate!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Estimate!!Total:!!With a mortgage:!!Zero or negative income","Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Annotation of Margin of Error!!Total:!!Not mortgaged:","Annotation of Estimate!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Estimate!!Total:!!Not mortgaged:!!Zero or negative income","Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income",
"0100000US","United States","78724862","null","240723","null","48603972","159096","null","null","1992552","27658","null","null","5529","1094","null","null","22618","2167","null","null","1964405","27971","null","null","3174824","32568","null","null","79283","null","3583","null","383355","11016","null","null","2712186","29576","null","null","4112707","34468","null","null","412842","null","11325","null","1229611","null","18529","null","2470254","28237","null","null","8026830","59880","null","null","2144511","26722","null","null","3044871","null","32188","null","2837448","33481","null","null","31096372","115207","null","null","20378558","86396","null","null","7820581","51556","null","null","2897233","null","25351","null","200687","null","7390","null","30120890","116759","null","null","3923628","28628","null","null","700062","13220","null","null","766020","null","13925","null","2457546","null","23006","null","4528250","35647","null","null","2448020","null","24317","null","1189072","null","20579","null","891158","15989","null","null","4029071","32991","null","null","3182024","null","30342","null","604667","null","12128","null","242380","null","8145","null","5467194","37746","null","null","4979437","35067","null","null","379239","null","11588","null","108518","4662","null","null","11807335","null","69463","null","11608164","69742","null","null","168328","5299","null","null","30843","null","2416","null","365412","null","11671","null",
"0400000US01","Alabama","1305223","null","12053","null","721996","13442","null","null","45989","3375","null","null","75","86","null","null","608","338","null","null","45306","3369","null","null","67979","4423","null","null","2414","null","855","null","12147","1779","null","null","53418","3958","null","null","79494","4433","null","null","10232","null","1690","null","38035","null","3247","null","31227","2834","null","null","137233","6820","null","null","57089","4687","null","null","56295","null","4220","null","23849","2745","null","null","386359","9456","null","null","321119","8772","null","null","55989","3993","null","null","9251","null","1443","null","4942","null","1558","null","583227","10352","null","null","106824","5432","null","null","30201","3090","null","null","26956","null","2666","null","49667","null","3394","null","100975","5077","null","null","77877","null","4475","null","18018","null","2101","null","5080","1298","null","null","88925","3812","null","null","84741","null","3803","null","3652","null","900","null","532","null","330","null","108772","5090","null","null","107851","5135","null","null","576","null","299","null","345","245","null","null","169869","null","6368","null","169626","6353","null","null","235","182","null","null","8","null","15","null","7862","null","1401","null",
"0400000US02","Alaska","163272","null","3761","null","99293","3814","null","null","3031","811","null","null","0","163","null","null","0","163","null","null","3031","811","null","null","4052","827","null","null","124","null","81","null","150","112","null","null","3778","810","null","null","6899","1297","null","null","233","null","157","null","1411","null","766","null","5255","1094","null","null","16169","2268","null","null","1953","629","null","null","5879","null","1248","null","8337","1677","null","null","68982","3911","null","null","41383","2947","null","null","21098","2328","null","null","6501","null","1260","null","160","null","126","null","63979","3189","null","null","8196","1327","null","null","1862","683","null","null","1377","null","539","null","4957","null","986","null","6642","869","null","null","3666","null","743","null","1603","null","546","null","1373","396","null","null","6054","828","null","null","4541","null","725","null","1210","null","412","null","303","null","230","null","12507","1678","null","null","11241","1553","null","null","1244","null","716","null","22","39","null","null","30081","null","2507","null","29911","2479","null","null","170","154","null","null","0","null","163","null","499","null","379","null",
"0400000US04","Arizona","1742670","null","14610","null","1087076","14315","null","null","51238","4053","null","null","41","68","null","null","354","252","null","null","50843","4067","null","null","77956","5181","null","null","2246","null","617","null","9635","1871","null","null","66075","4729","null","null","111381","5322","null","null","9576","null","1391","null","34838","null","3166","null","66967","4304","null","null","193285","7994","null","null","51529","3813","null","null","84082","null","4867","null","57674","3772","null","null","647097","11341","null","null","455819","9702","null","null","155578","6144","null","null","35700","null","2902","null","6119","null","1717","null","655594","10866","null","null","91928","5026","null","null","21135","2382","null","null","15759","null","2226","null","55034","null","3933","null","101788","4046","null","null","64821","null","3723","null","23480","null","2180","null","13487","1919","null","null","97599","5054","null","null","84014","null","4634","null","10523","null","1935","null","3062","null","883","null","123029","4606","null","null","119501","4550","null","null","3031","null","846","null","497","280","null","null","229622","null","7345","null","228585","7409","null","null","949","543","null","null","88","null","105","null","11628","null","1798","null",
"0400000US05","Arkansas","761809","null","11533","null","403551","9268","null","null","24800","2477","null","null","12","24","null","null","537","345","null","null","24251","2459","null","null","45344","4168","null","null","2686","null","780","null","11115","1769","null","null","31543","3448","null","null","47142","3656","null","null","8522","null","1317","null","23215","null","2393","null","15405","2506","null","null","81579","5174","null","null","39378","3675","null","null","32112","null","3221","null","10089","1747","null","null","203436","6397","null","null","171711","6434","null","null","26436","2831","null","null","5289","null","1160","null","1250","null","544","null","358258","7877","null","null","66790","3893","null","null","20405","2175","null","null","16948","null","1920","null","29437","null","2671","null","67121","4065","null","null","51058","null","3404","null","12873","null","1741","null","3190","1002","null","null","50931","3577","null","null","48507","null","3527","null","2100","null","728","null","324","null","316","null","65569","4415","null","null","65279","4421","null","null","251","null","164","null","39","65","null","null","103439","null","4731","null","103329","4753","null","null","110","125","null","null","0","null","206","null","4408","null","1274","null",
"0400000US06","California","7218742","null","32100","null","4978989","25615","null","null","169209","6070","null","null","861","370","null","null","861","443","null","null","167487","6023","null","null","244279","7073","null","null","2737","null","771","null","9074","1480","null","null","232468","7294","null","null","301676","9320","null","null","8855","null","1481","null","34214","null","2922","null","258607","8968","null","null","627551","13350","null","null","53155","4456","null","null","149681","null","7165","null","424715","11208","null","null","3613855","26433","null","null","1675852","23585","null","null","1182267","15414","null","null","755736","null","12563","null","22419","null","2438","null","2239753","19376","null","null","242821","9166","null","null","28316","2662","null","null","33701","null","3329","null","180804","null","7828","null","275836","7660","null","null","111005","null","5793","null","73823","null","3730","null","91008","5103","null","null","253141","7916","null","null","166009","null","6056","null","57034","null","4195","null","30098","null","2724","null","353254","8919","null","null","299511","8368","null","null","40433","null","2978","null","13310","2061","null","null","1086896","null","15541","null","1060211","15623","null","null","21808","2047","null","null","4877","null","1087","null","27805","null","3164","null",
"0400000US08","Colorado","1471912","null","10990","null","1042379","10864","null","null","35493","3087","null","null","82","107","null","null","706","416","null","null","34705","3058","null","null","55892","4087","null","null","717","null","389","null","3401","921","null","null","51774","4084","null","null","76267","3894","null","null","4946","null","1131","null","14621","null","1850","null","56700","3488","null","null","154515","6763","null","null","22709","2261","null","null","56984","null","3619","null","74822","5015","null","null","715801","11014","null","null","439607","9153","null","null","203288","6818","null","null","72906","null","4496","null","4411","null","1367","null","429533","7289","null","null","48247","4001","null","null","6507","1409","null","null","8452","null","1335","null","33288","null","3051","null","57636","3691","null","null","29701","null","2629","null","17135","null","1949","null","10800","1670","null","null","48810","2974","null","null","40720","null","2809","null","6687","null","1404","null","1403","null","475","null","75683","4532","null","null","71683","4404","null","null","3414","null","852","null","586","390","null","null","194283","null","6222","null","193363","6256","null","null","778","365","null","null","142","null","169","null","4874","null","1540","null",
"0400000US09","Connecticut","895594","null","8768","null","593009","9561","null","null","15243","2095","null","null","58","93","null","null","0","213","null","null","15185","2108","null","null","29763","2971","null","null","286","null","254","null","710","414","null","null","28767","2911","null","null","36917","2898","null","null","650","null","385","null","3929","null","1003","null","32338","2934","null","null","79602","4971","null","null","4430","893","null","null","23648","null","2444","null","51524","4413","null","null","428540","8221","null","null","244377","6735","null","null","130750","5587","null","null","53413","null","3230","null","2944","null","1169","null","302585","6883","null","null","24689","2354","null","null","885","478","null","null","507","null","399","null","23297","null","2279","null","35188","3034","null","null","3444","null","1108","null","8449","null","1568","null","23295","2414","null","null","33891","3084","null","null","9900","null","1388","null","14909","null","1943","null","9082","null","1899","null","50277","3148","null","null","34585","2504","null","null","12298","null","1954","null","3394","995","null","null","154650","null","5022","null","149066","4857","null","null","4546","939","null","null","1038","null","426","null","3890","null","1014","null",
"0400000US10","Delaware","264503","null","4704","null","173325","4678","null","null","7452","1490","null","null","0","203","null","null","0","203","null","null","7452","1490","null","null","10345","1500","null","null","160","null","209","null","919","506","null","null","9266","1427","null","null","14405","1724","null","null","1586","null","759","null","3535","null","970","null","9284","1344","null","null","30864","2703","null","null","6049","1153","null","null","13965","null","1911","null","10850","1819","null","null","109968","4514","null","null","77837","4177","null","null","25468","2489","null","null","6663","null","1418","null","291","null","191","null","91178","3219","null","null","12620","1848","null","null","1981","775","null","null","1765","null","642","null","8874","null","1573","null","10964","1479","null","null","5916","null","1065","null","2971","null","765","null","2077","739","null","null","11639","1594","null","null","9632","null","1489","null","1079","null","410","null","928","null","425","null","16528","1399","null","null","15621","1416","null","null","501","null","347","null","406","512","null","null","38619","null","2319","null","38469","2316","null","null","64","92","null","null","86","null","100","null","808","null","421","null",
"0400000US11","District of Columbia","120988","null","3639","null","92531","3195","null","null","2525","753","null","null","0","218","null","null","0","218","null","null","2525","753","null","null","2269","716","null","null","0","null","218","null","0","218","null","null","2269","716","null","null","3872","1008","null","null","123","null","125","null","834","null","458","null","2915","885","null","null","7201","1710","null","null","384","267","null","null","1928","null","1160","null","4889","1112","null","null","76140","3152","null","null","42477","2989","null","null","22986","2220","null","null","10677","null","1546","null","524","null","406","null","28457","2093","null","null","2343","642","null","null","231","182","null","null","561","null","350","null","1551","null","541","null","2184","684","null","null","741","null","370","null","447","null","225","null","996","546","null","null","2059","696","null","null","1467","null","567","null","278","null","223","null","314","null","267","null","3817","984","null","null","3197","900","null","null","484","null","314","null","136","135","null","null","17472","null","1844","null","17059","1753","null","null","413","339","null","null","0","null","218","null","582","null","532","null",
"0400000US12","Florida","5237519","null","29214","null","2948085","27968","null","null","158547","7747","null","null","229","181","null","null","1105","568","null","null","157213","7697","null","null","256607","9390","null","null","6162","null","1656","null","22742","2682","null","null","227703","8454","null","null","318905","11959","null","null","25900","null","2800","null","82893","null","5654","null","210112","10157","null","null","541125","14178","null","null","127208","7259","null","null","207371","null","8724","null","206546","8088","null","null","1655737","19117","null","null","1069016","15499","null","null","439794","10550","null","null","146927","null","6083","null","17164","null","2920","null","2289434","21366","null","null","342373","9187","null","null","63694","4950","null","null","59410","null","4492","null","219269","null","7256","null","360454","10138","null","null","185061","null","6152","null","99249","null","5825","null","76144","4936","null","null","316321","8657","null","null","246506","null","8021","null","51437","null","3359","null","18378","null","2258","null","419570","12623","null","null","376922","11308","null","null","33380","null","3664","null","9268","1463","null","null","817092","null","13020","null","798843","12838","null","null","14852","1909","null","null","3397","null","900","null","33624","null","3128","null",
"0400000US13","Georgia","2470572","null","20049","null","1585366","19094","null","null","76987","4879","null","null","112","191","null","null","913","487","null","null","75962","4862","null","null","111143","6648","null","null","3148","null","972","null","11705","1916","null","null","96290","6491","null","null","144458","6901","null","null","12228","null","1648","null","47238","null","3668","null","84992","6284","null","null","289036","9528","null","null","82058","5489","null","null","124746","null","6470","null","82232","5635","null","null","953160","16021","null","null","697486","14345","null","null","211336","8916","null","null","44338","null","3682","null","10582","null","2174","null","885206","13345","null","null","129107","6041","null","null","25854","2641","null","null","31273","null","2898","null","71980","null","4447","null","137330","7011","null","null","88212","null","5288","null","34746","null","3282","null","14372","2330","null","null","113227","6524","null","null","102212","null","6313","null","8713","null","1475","null","2302","null","816","null","159735","6944","null","null","153276","6996","null","null","5201","null","1407","null","1258","650","null","null","329077","null","8651","null","327507","8561","null","null","1394","613","null","null","176","null","173","null","16730","null","2244","null",
