"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002EA","B25101_002M","B25101_002MA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!With a mortgage:","Annotation of Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Annotation of Margin of Error!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!Zero or negative income","Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Estimate!!Total:!!With a mortgage:!!Zero or negative income","Estimate!!Total:!!Not mortgaged:","Annotation of Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Annotation of Margin of Error!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!Zero or negative income","Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Estimate!!Total:!!Not mortgaged:!!Zero or negative income",
"0100000US","United States","83396988","null","187164","null","51114260","null","122077","null","2233345","null","25731","null","9085","null","1442","null","19947","null","2547","null","2204313","null","25555","null","3064006","null","32561","null","66065","null","4277","null","296197","9202","null","null","2701744","30376","null","null","4007836","34918","null","null","328410","9498","null","null","1028502","15936","null","null","2650924","null","27285","null","7836919","null","51887","null","1804373","null","23404","null","2895897","null","33951","null","3136649","34553","null","null","33694555","null","100738","null","21975347","null","79064","null","8397413","53564","null","null","3321795","30005","null","null","277599","9469","null","null","32282728","null","109187","null","4026427","null","30743","null","574499","null","13211","null","698466","null","13550","null","2753462","null","24742","null","4413039","null","30508","null","2168455","null","21483","null","1182771","18109","null","null","1061813","19123","null","null","4049264","33906","null","null","3007484","null","28201","null","702143","null","13587","null","339637","null","10723","null","5705774","null","39875","null","5064932","null","37991","null","474073","null","10092","null","166769","6921","null","null","13604682","null","69976","null","13256089","null","69960","null","258686","null","8457","null","89907","5255","null","null","483542","11504","null","null",
"0400000US01","Alabama","1377932","null","12342","null","738993","null","11516","null","47251","null","3283","null","264","null","212","null","639","null","368","null","46348","null","3216","null","57709","null","4635","null","2170","null","770","null","8130","1448","null","null","47409","4353","null","null","76100","4953","null","null","9936","1754","null","null","29048","3414","null","null","37116","null","3391","null","137802","null","6713","null","52182","null","3679","null","55199","null","4335","null","30421","3631","null","null","415520","null","9710","null","336605","null","8456","null","66983","4200","null","null","11932","2032","null","null","4611","1307","null","null","638939","null","11652","null","112838","null","6002","null","26584","null","2325","null","27518","null","3133","null","58736","null","4363","null","105991","null","5243","null","77527","null","4465","null","20832","2552","null","null","7632","1572","null","null","92886","4566","null","null","85622","null","4585","null","6428","null","1595","null","836","null","455","null","113143","null","5127","null","111539","null","4927","null","1103","null","429","null","501","501","null","null","200230","null","7438","null","199571","null","7409","null","386","null","309","null","273","237","null","null","13851","2444","null","null",
"0400000US02","Alaska","181145","null","3790","null","110531","null","4167","null","3885","null","896","null","0","null","184","null","0","null","184","null","3885","null","896","null","4290","null","805","null","34","null","59","null","340","197","null","null","3916","819","null","null","6980","1331","null","null","165","141","null","null","739","454","null","null","6076","null","1352","null","14735","null","1782","null","1436","null","457","null","4470","null","904","null","8829","1397","null","null","79700","null","3699","null","47014","null","3249","null","22111","2390","null","null","10575","1662","null","null","941","576","null","null","70614","null","3279","null","9226","null","1687","null","1375","null","511","null","875","null","350","null","6976","null","1626","null","7252","null","1222","null","3061","null","827","null","1973","655","null","null","2218","736","null","null","6912","1319","null","null","5200","null","1070","null","1258","null","470","null","454","null","330","null","11655","null","1460","null","10345","null","1370","null","1295","null","610","null","15","25","null","null","34988","null","2585","null","34261","null","2592","null","647","null","585","null","80","129","null","null","581","374","null","null",
"0400000US04","Arizona","1905690","null","14256","null","1205595","null","15500","null","57516","null","4239","null","178","null","178","null","286","null","195","null","57052","null","4280","null","74852","null","4809","null","1459","null","654","null","7203","1538","null","null","66190","4317","null","null","104100","6557","null","null","5977","1448","null","null","23333","2631","null","null","74790","null","5086","null","197282","null","7986","null","39303","null","3664","null","86153","null","4960","null","71826","5085","null","null","764684","null","11893","null","529397","null","10507","null","186859","7208","null","null","48428","4103","null","null","7161","1671","null","null","700095","null","10418","null","91593","null","5191","null","15947","null","2391","null","18778","null","2464","null","56868","null","3857","null","96256","null","5429","null","56883","null","4364","null","22261","2318","null","null","17112","2443","null","null","95160","5213","null","null","78940","null","5170","null","12508","null","1899","null","3712","null","1110","null","129301","null","5418","null","124042","null","5114","null","4327","null","1059","null","932","412","null","null","274125","null","7491","null","272963","null","7444","null","529","null","271","null","633","341","null","null","13660","1697","null","null",
"0400000US05","Arkansas","793038","null","9392","null","428178","null","7960","null","28099","null","3017","null","83","null","140","null","481","null","314","null","27535","null","3037","null","38099","null","3398","null","1012","null","431","null","8157","1564","null","null","28930","3118","null","null","48082","3832","null","null","6607","1449","null","null","21653","2665","null","null","19822","null","2622","null","82220","null","3873","null","35163","null","3101","null","32388","null","2866","null","14669","2369","null","null","230347","null","6616","null","193975","null","6626","null","29852","3082","null","null","6520","1580","null","null","1331","553","null","null","364860","null","8270","null","62672","null","4164","null","15525","null","2283","null","14589","null","1925","null","32558","null","2441","null","62901","null","4180","null","43991","null","3297","null","12662","1987","null","null","6248","1376","null","null","50234","4081","null","null","47425","null","3942","null","1919","null","743","null","890","null","501","null","67813","null","4248","null","65976","null","4170","null","1643","null","838","null","194","175","null","null","115077","null","6126","null","114986","null","6101","null","91","null","116","null","0","213","null","null","6163","1354","null","null",
"0400000US06","California","7502706","null","28590","null","5098782","null","27192","null","196541","null","7845","null","1039","null","452","null","640","null","421","null","194862","null","7920","null","226701","null","8368","null","2968","null","825","null","4264","1087","null","null","219469","8378","null","null","290245","9066","null","null","7385","1561","null","null","21448","2604","null","null","261412","null","8918","null","579680","null","11575","null","41031","null","3089","null","120045","null","5529","null","418604","10605","null","null","3772738","null","27000","null","1758494","null","18992","null","1196942","19354","null","null","817302","14030","null","null","32877","3471","null","null","2403924","null","23848","null","246941","null","8631","null","21771","null","2531","null","23800","null","2408","null","201370","null","7625","null","264914","null","8849","null","83523","null","5029","null","71553","4313","null","null","109838","5017","null","null","237559","7871","null","null","134597","null","5222","null","61067","null","4504","null","41895","null","3383","null","370643","null","9633","null","295482","null","8871","null","52268","null","3479","null","22893","2390","null","null","1244091","null","15600","null","1191995","null","14245","null","35566","null","3270","null","16530","2351","null","null","39776","3298","null","null",
"0400000US08","Colorado","1546233","null","12044","null","1077143","null","12323","null","38180","null","3633","null","60","null","100","null","474","null","488","null","37646","null","3545","null","50073","null","3696","null","450","null","323","null","2360","874","null","null","47263","3468","null","null","74248","4876","null","null","2947","1139","null","null","10964","1653","null","null","60337","null","4478","null","144002","null","5814","null","13993","null","1943","null","45014","null","3590","null","84995","4902","null","null","765357","null","11005","null","451373","null","9438","null","232620","7549","null","null","81364","4137","null","null","5283","1161","null","null","469090","null","9484","null","47382","null","3109","null","5424","null","1156","null","7647","null","1218","null","34311","null","2793","null","54657","null","3776","null","24482","null","2750","null","17019","2261","null","null","13156","1854","null","null","53369","3649","null","null","40144","null","3236","null","8639","null","1372","null","4586","null","1127","null","78156","null","3845","null","71887","null","3667","null","4897","null","1288","null","1372","616","null","null","229578","null","5754","null","226907","null","5800","null","1648","null","718","null","1023","540","null","null","5948","1258","null","null",
"0400000US09","Connecticut","951516","null","9355","null","620947","null","8915","null","21919","null","2788","null","0","null","217","null","201","null","328","null","21718","null","2784","null","26119","null","2822","null","215","null","357","null","565","302","null","null","25339","2792","null","null","38887","3218","null","null","647","345","null","null","2814","933","null","null","35426","null","3192","null","76629","null","4441","null","5242","null","1179","null","21406","null","2694","null","49981","3753","null","null","454254","null","7165","null","268820","null","5936","null","133198","5403","null","null","52236","3556","null","null","3139","999","null","null","330569","null","8036","null","24825","null","2419","null","422","null","249","null","1160","null","517","null","23243","null","2445","null","36372","null","2992","null","2884","null","943","null","8594","1451","null","null","24894","2463","null","null","30619","2660","null","null","9333","null","1514","null","10821","null","1557","null","10465","null","1684","null","50225","null","3850","null","32542","null","3061","null","13040","null","1878","null","4643","919","null","null","184929","null","6024","null","173377","null","5901","null","8741","null","1483","null","2811","888","null","null","3599","896","null","null",
"0400000US10","Delaware","287111","null","5513","null","182907","null","5682","null","8339","null","1493","null","0","null","210","null","139","null","139","null","8200","null","1478","null","10234","null","1766","null","358","null","311","null","745","452","null","null","9131","1645","null","null","15695","2084","null","null","1100","567","null","null","3029","994","null","null","11566","null","1917","null","30900","null","3301","null","4912","null","1196","null","12789","null","1781","null","13199","2366","null","null","116530","null","4566","null","81678","null","3968","null","28915","3457","null","null","5937","1270","null","null","1209","598","null","null","104204","null","3833","null","11894","null","1839","null","1570","null","631","null","2133","null","764","null","8191","null","1497","null","13187","null","1713","null","7294","null","1352","null","3754","1123","null","null","2139","689","null","null","14347","1766","null","null","11628","null","1599","null","2256","null","821","null","463","null","244","null","18912","null","2259","null","18221","null","2250","null","431","null","239","null","260","297","null","null","44234","null","3410","null","43855","null","3412","null","379","null","302","null","0","210","null","null","1630","656","null","null",
"0400000US11","District of Columbia","132936","null","4071","null","100122","null","4664","null","2973","null","996","null","0","null","236","null","0","null","236","null","2973","null","996","null","3486","null","846","null","175","null","163","null","159","214","null","null","3152","868","null","null","3037","889","null","null","0","236","null","null","130","155","null","null","2907","null","848","null","8681","null","1580","null","456","null","280","null","2492","null","828","null","5733","1437","null","null","81649","null","4158","null","47705","null","3592","null","22328","2453","null","null","11616","1546","null","null","296","224","null","null","32814","null","2672","null","2548","null","880","null","237","null","219","null","148","null","137","null","2163","null","817","null","3149","null","1043","null","1108","null","627","null","717","425","null","null","1324","774","null","null","2661","712","null","null","1537","null","550","null","557","null","326","null","567","null","470","null","3196","null","812","null","2629","null","766","null","451","null","265","null","116","141","null","null","20689","null","2286","null","20022","null","2331","null","469","null","422","null","198","235","null","null","571","363","null","null",
"0400000US12","Florida","5772329","null","30900","null","3270319","null","27393","null","189207","null","7274","null","690","null","404","null","1390","null","549","null","187127","null","7256","null","253461","null","9661","null","4855","null","1135","null","18872","2766","null","null","229734","9761","null","null","307983","9279","null","null","19157","3005","null","null","67718","4430","null","null","221108","null","7706","null","572307","null","13534","null","106749","null","6740","null","218401","null","9919","null","247157","9618","null","null","1924443","null","22762","null","1221646","null","19483","null","515983","12909","null","null","186814","8442","null","null","22918","2893","null","null","2502010","null","28102","null","345843","null","10202","null","50991","null","4249","null","49531","null","4103","null","245321","null","8735","null","384922","null","12745","null","183838","null","8520","null","96437","5731","null","null","104647","6444","null","null","318686","9163","null","null","223313","null","7274","null","64569","null","5227","null","30804","null","2916","null","435227","null","11026","null","380706","null","11098","null","39203","null","3287","null","15318","1808","null","null","968057","null","17751","null","938057","null","17589","null","21061","null","2394","null","8939","1548","null","null","49275","3226","null","null",
"0400000US13","Georgia","2642126","null","20935","null","1684488","null","20246","null","82633","null","5984","null","128","null","158","null","832","null","714","null","81673","null","5873","null","107801","null","7194","null","2487","null","1121","null","9384","1575","null","null","95930","6879","null","null","137334","7093","null","null","10779","1770","null","null","37903","4111","null","null","88652","null","6057","null","262852","null","10488","null","58875","null","4877","null","113809","null","6176","null","90168","6775","null","null","1084924","null","16285","null","790030","null","15744","null","231033","9484","null","null","63861","4759","null","null","8944","1960","null","null","957638","null","14955","null","130318","null","6429","null","22031","null","2493","null","27073","null","2782","null","81214","null","5499","null","139016","null","5888","null","85436","null","4325","null","35056","3724","null","null","18524","2623","null","null","121010","6343","null","null","102197","null","5937","null","14282","null","2407","null","4531","null","1470","null","167752","null","7217","null","159337","null","6896","null","6426","null","1781","null","1989","914","null","null","378295","null","9129","null","374425","null","9046","null","2886","null","1059","null","984","611","null","null","21247","3074","null","null",
